---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 Bits to CIO (13) 
---------------------------------------------------
 140349.010000  	    30	0	0  
 140449.350000  	    99	a	2  
 140449.741000  	    10	0	0  
 140700.047000  	    9a	6	2  
 140700.441000  	    0	0	0  
 140900.748000  	    ba	9	2  
 140901.135000  	    30	0	0  
 141001.455000  	    4f	a	2  
 141001.849000  	    4a	a	2  
 141002.239000  	    0	0	0  
 141502.564000  	    ba	9	2  
 141502.960000  	    30	0	0  
 141603.315000  	    99	a	2  
 141603.710000  	    10	0	0  
 141854.014000  	    9a	6	2  
 141854.404000  	    0	0	0  
 142054.713000  	    ba	9	2  
 142055.112000  	    30	0	0  
 142155.419000  	    4f	a	2  
 142155.791000  	    4a	a	2  
 142156.161000  	    0	0	0  
 142656.469000  	    ba	9	2  
 142656.854000  	    30	0	0  
 142757.160000  	    99	a	2  
 142757.545000  	    10	0	0  
 143007.854000  	    9a	6	2  
 143008.259000  	    0	0	0  
 143208.582000  	    ba	9	2  
 143208.969000  	    30	0	0  
 143309.294000  	    4f	a	2  
 143309.702000  	    4a	a	2  
 143310.099000  	    0	0	0  
 143810.426000  	    ba	9	2  
 143810.818000  	    30	0	0  
 143911.132000  	    99	a	2  
 143911.519000  	    10	0	0  
 144161.818000  	    9a	6	2  
 144162.203000  	    0	0	0  
 144362.574000  	    ba	9	2  
 144362.974000  	    30	0	0  
 144463.296000  	    9b	a	2  
 144463.684000  	    46	a	2  
 144464.070000  	    0	0	0  
 144964.380000  	    b6	9	2  
 144964.775000  	    30	0	0  
 145065.086000  	    95	a	2  
 145065.473000  	    10	0	0  
 145315.777000  	    96	6	2  
 145316.173000  	    0	0	0  
 145516.475000  	    b6	9	2  
 145516.868000  	    30	0	0  
 145617.199000  	    4f	a	2  
 145617.698000  	    4a	a	2  
 145618.137000  	    0	0	0  
 146118.556000  	    ba	9	2  
 146118.988000  	    30	0	0  
 146219.392000  	    99	a	2  
 146219.813000  	    10	0	0  
 146470.190000  	    9a	6	2  
 146470.609000  	    0	0	0  
 146671.003000  	    ba	9	2  
 146671.434000  	    30	0	0  
 146771.857000  	    4f	a	2  
 146772.291000  	    4a	a	2  
 146772.711000  	    0	0	0  
 147273.182000  	    ba	9	2  
 147273.586000  	    30	0	0  
 147373.889000  	    99	a	2  
 147374.280000  	    10	0	0  
 147624.577000  	    9a	6	2  
 147624.947000  	    0	0	0  
 147825.227000  	    ba	9	2  
 147825.600000  	    30	0	0  
 147925.895000  	    4f	a	2  
 147926.272000  	    4a	a	2  
 147926.647000  	    0	0	0  
 148426.967000  	    ba	9	2  
 148427.368000  	    30	0	0  
 148527.695000  	    99	a	2  
 148528.192000  	    10	0	0  
 148778.546000  	    9a	6	2  
 148778.941000  	    0	0	0  
 148979.254000  	    ba	9	2  
