---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
 24286700.901000  	    ba	0	2  
 24286702.151000  	    10	0	0  
 24286753.620000  	    7a	8	2  
 24286754.947000  	    50	0	0  
 24287757.391000  	    8a	3	2  
 24287758.670000  	    8a	2	2  
 24287759.997000  	    0	0	0  
 24290761.406000  	    7a	8	2  
 24290762.637000  	    50	0	0  
 24291765.039000  	    b9	0	2  
 24291766.328000  	    10	0	0  
 24297767.733000  	    7a	8	2  
 24297768.951000  	    50	0	0  
 24298771.483000  	    ba	0	2  
 24298772.691000  	    10	0	0  
 24298824.081000  	    7a	8	2  
 24298825.362000  	    50	0	0  
 24299827.800000  	    8a	3	2  
 24299829.128000  	    8a	2	2  
 24299830.445000  	    0	0	0  
 24302831.771000  	    7a	8	2  
 24302832.962000  	    50	0	0  
 24303835.272000  	    b9	0	2  
 24303836.504000  	    10	0	0  
 24309837.797000  	    7a	8	2  
 24309839.027000  	    50	0	0  
 24310841.471000  	    ba	0	2  
 24310842.620000  	    10	0	0  
 24310893.918000  	    7a	8	2  
 24310895.277000  	    50	0	0  
 24311897.683000  	    8a	3	2  
 24311898.947000  	    8a	2	2  
 24311900.192000  	    0	0	0  
 24314901.492000  	    7a	8	2  
 24314902.741000  	    50	0	0  
 24315905.074000  	    b9	0	2  
 24315906.355000  	    10	0	0  
 24321907.678000  	    7a	8	2  
 24321908.919000  	    50	0	0  
 24322911.416000  	    ba	0	2  
 24322912.715000  	    10	0	0  
 24322964.093000  	    7a	8	2  
 24322965.458000  	    50	0	0  
 24323967.760000  	    8a	3	2  
 24323968.988000  	    8a	2	2  
 24323970.296000  	    0	0	0  
 24326971.646000  	    7a	8	2  
 24326972.875000  	    50	0	0  
 24327975.559000  	    b9	0	2  
 24327976.857000  	    10	0	0  
 24333978.249000  	    7a	8	2  
 24333979.470000  	    50	0	0  
 24334981.942000  	    ba	0	2  
 24334983.179000  	    10	0	0  
 24335034.631000  	    7a	8	2  
 24335036.005000  	    50	0	0  
 24336038.332000  	    8a	3	2  
 24336039.551000  	    8a	2	2  
 24336040.741000  	    0	0	0  
 24339041.962000  	    7a	8	2  
 24339043.154000  	    50	0	0  
 24340045.508000  	    b9	0	2  
 24340046.724000  	    10	0	0  
 24346048.075000  	    7a	8	2  
 24346049.445000  	    50	0	0  
 24347051.930000  	    ba	0	2  
 24347053.137000  	    10	0	0  
 24347104.543000  	    7a	8	2  
 24347105.905000  	    50	0	0  
 24348108.416000  	    8a	3	2  
 24348109.786000  	    8a	2	2  
 24348111.152000  	    0	0	0  
 24351112.538000  	    7a	8	2  
 24351113.808000  	    50	0	0  
 24352116.143000  	    b9	0	2  
 24352117.499000  	    10	0	0  
 24358118.859000  	    7a	8	2  
 24358120.096000  	    50	0	0  
 24359122.500000  	    ba	0	2  
 24359123.733000  	    10	0	0  
 24359175.107000  	    7a	8	2  
 24359176.386000  	    50	0	0  
 24360179.026000  	    8a	3	2  
 24360180.270000  	    8a	2	2  
 24360181.525000  	    0	0	0  
 24363182.858000  	    7a	8	2  
 24363184.124000  	    50	0	0  
 24364186.713000  	    b9	0	2  
 24364187.934000  	    10	0	0  
 24370189.328000  	    7a	8	2  
 24370190.659000  	    50	0	0  
 24371192.817000  	    ba	0	2  
 24371193.981000  	    10	0	0  
 24371245.238000  	    7a	8	2  
 24371246.523000  	    50	0	0  
 24372248.829000  	    8a	3	2  
 24372250.095000  	    8a	2	2  
 24372251.336000  	    0	0	0  
 24375252.708000  	    7a	8	2  
 24375254.123000  	    50	0	0  
 24376256.468000  	    b9	0	2  
 24376257.623000  	    10	0	0  
 24382258.846000  	    7a	8	2  
 24382260.078000  	    50	0	0  
 24383262.384000  	    ba	0	2  
 24383263.632000  	    10	0	0  
 24383314.992000  	    7a	8	2  
 24383316.303000  	    50	0	0  
 24384318.604000  	    8a	3	2  
 24384319.929000  	    8a	2	2  
 24384321.242000  	    0	0	0  
 24387322.628000  	    7a	8	2  
 24387323.819000  	    50	0	0  
 24388326.235000  	    b9	0	2  
 24388327.538000  	    10	0	0  
 24394328.915000  	    7a	8	2  
 24394330.155000  	    50	0	0  
 24395332.853000  	    ba	0	2  
 24395334.092000  	    10	0	0  
 24395385.460000  	    7a	8	2  
 24395386.742000  	    50	0	0  
 24396389.344000  	    8a	3	2  
 24396390.590000  	    8a	2	2  
 24396391.846000  	    0	0	0  
 24399393.175000  	    7a	8	2  
 24399394.479000  	    50	0	0  
 24400396.926000  	    b9	0	2  
 24400398.155000  	    10	0	0  
 24406399.475000  	    7a	8	2  
 24406400.708000  	    50	0	0  
 24407402.750000  	    ba	0	2  
