---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
 4096140.353000  	    7a	8	2  
 4096141.589000  	    50	0	0  
 4097143.401000  	    8a	3	2  
 4097144.571000  	    8a	2	2  
 4097145.782000  	    0	0	0  
 4103147.027000  	    7a	8	2  
 4103148.202000  	    50	0	0  
 4104150.626000  	    b9	0	2  
 4104151.857000  	    10	0	0  
 4113153.179000  	    7a	8	2  
 4113154.328000  	    50	0	0  
 4114156.602000  	    ba	0	2  
 4114157.853000  	    10	0	0  
 4114359.238000  	    7a	8	2  
 4114360.552000  	    50	0	0  
 4115363.012000  	    b6	1	2  
 4115364.384000  	    86	2	2  
 4115365.647000  	    0	0	0  
 4121367.089000  	    76	8	2  
 4121368.349000  	    50	0	0  
 4122370.600000  	    b5	0	2  
 4122371.787000  	    10	0	0  
 4131373.073000  	    76	8	2  
 4131374.305000  	    50	0	0  
 4132376.724000  	    b6	0	2  
 4132378.004000  	    10	0	0  
 4132579.365000  	    76	8	2  
 4132580.640000  	    50	0	0  
 4133582.948000  	    8a	3	2  
 4133584.273000  	    8a	2	2  
 4133585.583000  	    0	0	0  
 4139586.960000  	    7a	8	2  
 4139588.231000  	    50	0	0  
 4140590.548000  	    b9	0	2  
 4140591.788000  	    10	0	0  
 4149593.134000  	    7a	8	2  
 4149594.383000  	    50	0	0  
 4150596.770000  	    ba	0	2  
 4150598.021000  	    10	0	0  
 4150799.406000  	    7a	8	2  
 4150800.682000  	    50	0	0  
 4151802.929000  	    8a	3	2  
 4151804.205000  	    8a	2	2  
 4151805.474000  	    0	0	0  
 4157806.834000  	    7a	8	2  
 4157808.114000  	    50	0	0  
 4158810.290000  	    b9	0	2  
 4158811.441000  	    10	0	0  
 4167812.708000  	    7a	8	2  
 4167813.977000  	    50	0	0  
 4168816.110000  	    ba	0	2  
 4168817.271000  	    10	0	0  
 4169018.539000  	    7a	8	2  
 4169019.820000  	    50	0	0  
 4170022.286000  	    8a	3	2  
 4170023.557000  	    8a	2	2  
 4170024.807000  	    0	0	0  
 4176026.092000  	    7a	8	2  
 4176027.344000  	    50	0	0  
 4177029.795000  	    b9	0	2  
 4177031.062000  	    10	0	0  
 4186032.439000  	    7a	8	2  
 4186033.707000  	    50	0	0  
 4187035.978000  	    ba	0	2  
 4187037.168000  	    10	0	0  
 4187238.498000  	    7a	8	2  
 4187239.779000  	    50	0	0  
 4188242.193000  	    8a	3	2  
 4188243.446000  	    8a	2	2  
 4188244.688000  	    0	0	0  
 4194245.988000  	    7a	8	2  
 4194247.220000  	    50	0	0  
 4195249.690000  	    b9	0	2  
 4195250.920000  	    10	0	0  
 4204252.184000  	    7a	8	2  
 4204253.329000  	    50	0	0  
 4205255.723000  	    ba	0	2  
 4205256.907000  	    10	0	0  
 4205458.227000  	    7a	8	2  
 4205459.510000  	    50	0	0  
 4206461.932000  	    8a	3	2  
 4206463.168000  	    8a	2	2  
 4206464.419000  	    0	0	0  
 4212465.762000  	    7a	8	2  
 4212466.993000  	    50	0	0  
 4213469.534000  	    b9	0	2  
 4213470.788000  	    10	0	0  
 4222472.108000  	    7a	8	2  
 4222473.284000  	    50	0	0  
 4223475.501000  	    ba	0	2  
 4223476.765000  	    10	0	0  
 4223678.145000  	    7a	8	2  
 4223679.474000  	    50	0	0  
 4224681.709000  	    8a	3	2  
 4224682.915000  	    8a	2	2  
 4224684.102000  	    0	0	0  
 4230685.432000  	    7a	8	2  
 4230686.709000  	    50	0	0  
 4231688.936000  	    b9	0	2  
 4231690.219000  	    10	0	0  
 4240691.549000  	    7a	8	2  
 4240692.806000  	    50	0	0  
 4241695.428000  	    ba	0	2  
 4241696.648000  	    10	0	0  
 4241898.032000  	    7a	8	2  
 4241899.350000  	    50	0	0  
 4242901.735000  	    8a	3	2  
 4242902.977000  	    8a	2	2  
 4242904.213000  	    0	0	0  
 4248905.572000  	    7a	8	2  
 4248906.860000  	    50	0	0  
 4249908.508000  	    b9	0	2  
 4249909.656000  	    10	0	0  
 4258910.956000  	    7a	8	2  
 4258912.200000  	    50	0	0  
 4259914.444000  	    ba	0	2  
 4259915.622000  	    10	0	0  
 4260116.913000  	    7a	8	2  
 4260118.135000  	    50	0	0  
 4261120.573000  	    8a	3	2  
 4261121.823000  	    8a	2	2  
 4261123.079000  	    0	0	0  
 4267124.374000  	    7a	8	2  
 4267125.697000  	    50	0	0  
 4268128.333000  	    b9	0	2  
